Title	Franchise	Format	Genres	Era	Links
"=""Ghostbusters"""	"="""""	"=""movie"""	"=""action, comedy, horror, monsters"""	"=""1984"""	"=""https://en.wikipedia.org/wiki/Ghostbusters, https://tv.apple.com/us/movie/ghostbusters/umc.cmc.68x0l486w0u0qonsxawjuynxk"""
"=""Gleaming the Cube"""	"="""""	"=""movie"""	"=""action, high school, skateboarding"""	"=""1989"""	"=""https://en.wikipedia.org/wiki/Gleaming_the_Cube"""
"=""Goodfellas"""	"="""""	"=""movie"""	"=""crime"""	"=""1990"""	"=""https://en.wikipedia.org/wiki/Goodfellas, https://tv.apple.com/us/movie/goodfellas/umc.cmc.77gvldp7rsv3dl2s6iec16srm"""
"=""The Goonies"""	"="""""	"=""movie"""	"=""adventure, comedy"""	"=""1985"""	"=""https://en.wikipedia.org/wiki/The_Goonies, https://tv.apple.com/us/movie/the-goonies/umc.cmc.2qrqq24aa4jjhqmdl0kr3b6d0"""
"=""Gossip Girl"""	"="""""	"=""series"""	"=""drama, high school, romance"""	"=""2007-2012"""	"=""https://en.wikipedia.org/wiki/Gossip_Girl, https://tv.apple.com/us/show/gossip-girl/umc.cmc.14kescsfj2kiygrlia3ngwejg"""
"=""The Great Escape"""	"="""""	"=""movie"""	"=""politics, prison, war"""	"=""1963"""	"=""https://en.wikipedia.org/wiki/The_Great_Escape_(film), https://tv.apple.com/us/movie/the-great-escape/umc.cmc.25wh6g4f4ayem0ia86iljy3gm"""
"=""Gremlins 2: The New Batch"""	"="""""	"=""movie"""	"=""comedy, horror, monsters"""	"=""1990"""	"=""https://en.wikipedia.org/wiki/Gremlins_2%3A_The_New_Batch, https://tv.apple.com/us/movie/gremlins-2-the-new-batch/umc.cmc.2hnvsetto8ball2d697is2nae"""
"=""Grosse Pointe Blank"""	"="""""	"=""movie"""	"=""action, crime, high school, romance"""	"=""1997"""	"=""https://en.wikipedia.org/wiki/Grosse_Pointe_Blank, https://tv.apple.com/us/movie/grosse-pointe-blank/umc.cmc.10b0xcqq8kiqj113v2fq0ycd"""
"=""Groundhog Day"""	"="""""	"=""movie"""	"=""comedy, fantasy"""	"=""1993"""	"=""https://en.wikipedia.org/wiki/Groundhog_Day_(film), https://tv.apple.com/us/movie/groundhog-day/umc.cmc.1w6jlmh7a3csaxq764zd0b6f0"""
"=""Guardians of the Galaxy"""	"="""""	"=""movie"""	"=""action, science fiction, superheroes"""	"=""2014"""	"=""https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_(film), https://tv.apple.com/us/movie/guardians-of-the-galaxy/umc.cmc.71igdwen6ko2dlhwaw12vbdh"""
"=""Halloween"""	"=""Halloween"""	"=""movie"""	"=""horror, suspense"""	"=""1978"""	"=""https://en.wikipedia.org/wiki/Halloween_(1978_film), https://tv.apple.com/us/movie/halloween/umc.cmc.3ucmuzhhu97vky5ss9shi57ba"""
"=""Halloween II"""	"=""Halloween"""	"=""movie"""	"=""horror, suspense"""	"=""1981"""	"=""https://en.wikipedia.org/wiki/Halloween_II_(1981_film), https://tv.apple.com/us/movie/halloween-ii/umc.cmc.62emg6t9hc6g8nyh8md4xs0gr"""
"=""Halloween III: Season of the Witch"""	"=""Halloween"""	"=""movie"""	"=""horror, suspense"""	"=""1982"""	"=""https://en.wikipedia.org/wiki/Halloween_III:_Season_of_the_Witch, https://tv.apple.com/us/movie/halloween-iii-season-of-the-witch/umc.cmc.4b12wjiaad2ef9drt3byre9wa"""
"=""Halt and Catch Fire"""	"="""""	"=""series"""	"=""drama"""	"=""2014-2017"""	"=""https://en.wikipedia.org/wiki/Halt_and_Catch_Fire_(TV_series), https://tv.apple.com/us/show/halt-and-catch-fire/umc.cmc.5s15r46uj0wx044tipm2zoh88"""
